"DRQSDIET.Code.or.Value","DRQSDIET.Value.Description","DRQSDIET.Count","DRQSDIET.Cumulative","DRQSDIET.Skip.to.Item"
"1","Yes",920,920,""
"2","No",8389,9309,"DR1TNUMF"
"9","Don't know",29,9338,"DR1TNUMF"
".","Missing",424,9762,""
