"DR2TMFAT.Code.or.Value","DR2TMFAT.Value.Description","DR2TMFAT.Count","DR2TMFAT.Cumulative","DR2TMFAT.Skip.to.Item"
"0 to 173.825","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
