"DR2TALCO.Code.or.Value","DR2TALCO.Value.Description","DR2TALCO.Count","DR2TALCO.Cumulative","DR2TALCO.Skip.to.Item"
"0 to 325.2","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
