"DRD350DQ.Code.or.Value","DRD350DQ.Value.Description","DRD350DQ.Count","DRD350DQ.Cumulative","DRD350DQ.Skip.to.Item"
"1 to 12","Range of Values",321,321,NA
".","Missing",9629,9950,NA
