"DS1TCARB.Code.or.Value","DS1TCARB.Value.Description","DS1TCARB.Count","DS1TCARB.Cumulative","DS1TCARB.Skip.to.Item"
"0.3 to 33","Range of Values",832,832,NA
".","Missing",9421,10253,NA
