"WBXF083.Code.or.Value","WBXF083.Value.Description","WBXF083.Count","WBXF083.Cumulative","WBXF083.Skip.to.Item"
"4000 to 4000","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
