"DEX6PSCF.Code.or.Value","DEX6PSCF.Value.Description","DEX6PSCF.Count","DEX6PSCF.Cumulative","DEX6PSCF.Skip.to.Item"
"1","High",1,1,NA
"2","Moderate",3,4,NA
"3","Low",7,11,NA
"9","Not determined, picture missing",0,11,NA
".","Missing",2981,2992,NA
