"FIAPROXY.Code.or.Value","FIAPROXY.Value.Description","FIAPROXY.Count","FIAPROXY.Cumulative","FIAPROXY.Skip.to.Item"
"1","Yes",15,15,NA
"2","No",9636,9651,NA
".","Missing",105,9756,NA
