"URDDAZLC.Code.or.Value","URDDAZLC.Value.Description","URDDAZLC.Count","URDDAZLC.Cumulative","URDDAZLC.Skip.to.Item"
"0","At or above the detection limit",2422,2422,NA
"1","Below lower detection limit",2,2424,NA
".","Missing",294,2718,NA
