"DR1TVB1.Code.or.Value","DR1TVB1.Value.Description","DR1TVB1.Count","DR1TVB1.Cumulative","DR1TVB1.Skip.to.Item"
"0 to 23.111","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
