"DXXSATV.Code.or.Value","DXXSATV.Value.Description","DXXSATV.Count","DXXSATV.Cumulative","DXXSATV.Skip.to.Item"
"106.83 to 5939.73","Range of Values",4055,4055,NA
".","Missing",1059,5114,NA
