"WTSB2YR.Code.or.Value","WTSB2YR.Value.Description","WTSB2YR.Count","WTSB2YR.Cumulative","WTSB2YR.Skip.to.Item"
"0 to 426061.06902","Range of Values",2819,2819,NA
".","Missing",0,2819,NA
