"URXMX7.Code.or.Value","URXMX7.Value.Description","URXMX7.Count","URXMX7.Cumulative","URXMX7.Skip.to.Item"
"0.07 to 152","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
