"DXDSTBMC.Code.or.Value","DXDSTBMC.Value.Description","DXDSTBMC.Count","DXDSTBMC.Cumulative","DXDSTBMC.Skip.to.Item"
"365.36 to 3689.24","Range of Values",4992,4992,NA
".","Missing",1041,6033,NA
