"BPQ020.Code.or.Value","BPQ020.Value.Description","BPQ020.Count","BPQ020.Cumulative","BPQ020.Skip.to.Item"
"1","Yes",1681,1681,""
"2","No",4843,6524,"BPQ055"
"7","Refused",0,6524,"BPQ055"
"9","Don't know",10,6534,"BPQ055"
".","Missing",100,6634,""
