"DR1STY.Code.or.Value","DR1STY.Value.Description","DR1STY.Count","DR1STY.Cumulative","DR1STY.Skip.to.Item"
"1","Yes",1448,1448,""
"2","No",7273,8721,"DRQSDIET"
"9","Don't know",62,8783,"DRQSDIET"
".","Missing",1030,9813,""
