"PFD069A.Code.or.Value","PFD069A.Value.Description","PFD069A.Count","PFD069A.Cumulative","PFD069A.Skip.to.Item"
"7 to 27394","Range of Values",618,618,NA
"66666","Since birth",6,624,NA
"77777","Refused",0,624,NA
"99999","Don't know",15,639,NA
".","Missing",9183,9822,NA
