"LBXVBZ.Code.or.Value","LBXVBZ.Value.Description","LBXVBZ.Count","LBXVBZ.Cumulative","LBXVBZ.Skip.to.Item"
"0.017 to 6.29","Range of Values",3068,3068,NA
".","Missing",379,3447,NA
