"CDQ001.Code.or.Value","CDQ001.Value.Description","CDQ001.Count","CDQ001.Cumulative","CDQ001.Skip.to.Item"
"1","Yes",927,927,""
"2","No",2127,3054,"CDQ010"
"7","Refused",0,3054,"CDQ010"
"9","Don't know",1,3055,"CDQ010"
".","Missing",1,3056,""
