"MCQ260GH.Code.or.Value","MCQ260GH.Value.Description","MCQ260GH.Count","MCQ260GH.Cumulative","MCQ260GH.Skip.to.Item"
"8","Sister",32,32,NA
".","Missing",9461,9493,NA
