"LBCGHCLA.Code.or.Value","LBCGHCLA.Value.Description","LBCGHCLA.Count","LBCGHCLA.Cumulative","LBCGHCLA.Skip.to.Item"
"0.42 to 1.03","Range of Values",247,247,NA
".","Missing",0,247,NA
