"URXTRS.Code.or.Value","URXTRS.Value.Description","URXTRS.Count","URXTRS.Cumulative","URXTRS.Skip.to.Item"
"1.2 to 9572","Range of Values",2686,2686,NA
".","Missing",91,2777,NA
