"DRD360.Code.or.Value","DRD360.Value.Description","DRD360.Count","DRD360.Cumulative","DRD360.Skip.to.Item"
"1","Yes",1819,1819,""
"2","No",1046,2865,"End of Section"
"7","Refused",3,2868,"End of Section"
"9","Don't know",10,2878,"End of Section"
".","Missing",6765,9643,""
