"DSQIPOTA.Code.or.Value","DSQIPOTA.Value.Description","DSQIPOTA.Count","DSQIPOTA.Cumulative","DSQIPOTA.Skip.to.Item"
"0.00969 to 3120","Range of Values",1451,1451,NA
".","Missing",6949,8400,NA
