"URDPPXLC.Code.or.Value","URDPPXLC.Value.Description","URDPPXLC.Count","URDPPXLC.Cumulative","URDPPXLC.Skip.to.Item"
"0","detectable result",46,46,NA
"1","below detectable limit",1871,1917,NA
".","Missing",208,2125,NA
