"SSIMP.Code.or.Value","SSIMP.Value.Description","SSIMP.Count","SSIMP.Cumulative","SSIMP.Skip.to.Item"
"PEL_Impression","Value was recorded",2041,2041,NA
"< blank >","Missing",0,2041,NA
