"BAXFTC31.Code.or.Value","BAXFTC31.Value.Description","BAXFTC31.Count","BAXFTC31.Cumulative","BAXFTC31.Skip.to.Item"
"0 to 28","Range of Values",93,93,NA
".","Missing",2993,3086,NA
