"LBDBHCLC.Code.or.Value","LBDBHCLC.Value.Description","LBDBHCLC.Count","LBDBHCLC.Cumulative","LBDBHCLC.Skip.to.Item"
"0","At or above the detection limit",216,216,NA
"1","Below lower detection limit",65,281,NA
".","Missing",3,284,NA
