"URXP10.Code.or.Value","URXP10.Value.Description","URXP10.Count","URXP10.Cumulative","URXP10.Skip.to.Item"
"3.5 to 12517.9","Range of Values",2415,2415,NA
".","Missing",223,2638,NA
