"URXUAS3.Code.or.Value","URXUAS3.Value.Description","URXUAS3.Count","URXUAS3.Cumulative","URXUAS3.Skip.to.Item"
"0.8 to 23","Range of Values",2573,2573,NA
".","Missing",100,2673,NA
