"DXXLRBMC.Code.or.Value","DXXLRBMC.Value.Description","DXXLRBMC.Count","DXXLRBMC.Cumulative","DXXLRBMC.Skip.to.Item"
"22.5 to 166.34","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
