"URXMHBP.Code.or.Value","URXMHBP.Value.Description","URXMHBP.Count","URXMHBP.Cumulative","URXMHBP.Skip.to.Item"
"0.28 to 82.8","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
