"LBX151LA.Code.or.Value","LBX151LA.Value.Description","LBX151LA.Count","LBX151LA.Cumulative","LBX151LA.Skip.to.Item"
"0.4 to 23.9","Range of Values",2307,2307,NA
".","Missing",240,2547,NA
