"CIQP21K.Code.or.Value","CIQP21K.Value.Description","CIQP21K.Count","CIQP21K.Cumulative","CIQP21K.Skip.to.Item"
"11","Fear: Storms, thunder, lightening",0,0,NA
".","Missing",928,928,NA
