"LBDVDBLC.Code.or.Value","LBDVDBLC.Value.Description","LBDVDBLC.Count","LBDVDBLC.Cumulative","LBDVDBLC.Skip.to.Item"
"0","detectable result",714,714,NA
"1","below detectable limit",606,1320,NA
"2","detectable result and exceeds the calibrated range of assay",2,1322,NA
".","Missing",167,1489,NA
