"OPDDSFS.Code.or.Value","OPDDSFS.Value.Description","OPDDSFS.Count","OPDDSFS.Cumulative","OPDDSFS.Skip.to.Item"
"0","No",2354,2354,NA
"1","Yes",2,2356,NA
".","Missing",578,2934,NA
