"WBXA062.Code.or.Value","WBXA062.Value.Description","WBXA062.Count","WBXA062.Cumulative","WBXA062.Skip.to.Item"
"-3.5307 to 0.9995","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
