"SXD450.Code.or.Value","SXD450.Value.Description","SXD450.Count","SXD450.Cumulative","SXD450.Skip.to.Item"
"0 to 30","Range of Values",1764,1764,NA
"77777","Refused",4,1768,NA
"99999","Don't know",0,1768,NA
".","Missing",3075,4843,NA
