"LBXHBC.Code.or.Value","LBXHBC.Value.Description","LBXHBC.Count","LBXHBC.Cumulative","LBXHBC.Skip.to.Item"
"1","Positive",407,407,NA
"2","Negative",6386,6793,NA
"3","Indeterminate",1,6794,NA
".","Missing",641,7435,NA
