"AUDTYL71.Code.or.Value","AUDTYL71.Value.Description","AUDTYL71.Count","AUDTYL71.Cumulative","AUDTYL71.Skip.to.Item"
"0 to 1.09","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
