"DS1ISFAT.Code.or.Value","DS1ISFAT.Value.Description","DS1ISFAT.Count","DS1ISFAT.Cumulative","DS1ISFAT.Skip.to.Item"
"0.05 to 3","Range of Values",215,215,NA
".","Missing",5691,5906,NA
