"SMQ050Q.Code.or.Value","SMQ050Q.Value.Description","SMQ050Q.Count","SMQ050Q.Cumulative","SMQ050Q.Skip.to.Item"
"1 to 193","Range of Values",1259,1259,NA
"77777","Refused",1,1260,NA
"99999","Don't know",6,1266,NA
".","Missing",5524,6790,NA
