"HCQ180.Code.or.Value","HCQ180.Value.Description","HCQ180.Count","HCQ180.Cumulative","HCQ180.Skip.to.Item"
"1","True",29,29,NA
"2","False",0,29,NA
"7","Refused",0,29,NA
"9","Don't know",3,32,NA
".","Missing",84,116,NA
