"DRD370U.Code.or.Value","DRD370U.Value.Description","DRD370U.Count","DRD370U.Cumulative","DRD370U.Skip.to.Item"
"1","Yes",428,428,""
"2","No",5143,5571,"DRD370V"
".","Missing",4379,9950,""
