"HSQ580.Code.or.Value","HSQ580.Value.Description","HSQ580.Count","HSQ580.Cumulative","HSQ580.Skip.to.Item"
"1 to 12","Range of Values",272,272,NA
"77","Refused",0,272,NA
"99","Don't know",2,274,NA
".","Missing",10108,10382,NA
