"DRD350IQ.Code.or.Value","DRD350IQ.Value.Description","DRD350IQ.Count","DRD350IQ.Cumulative","DRD350IQ.Skip.to.Item"
"1 to 3","Range of Values",47,47,NA
".","Missing",9596,9643,NA
