"RHQ576U.Code.or.Value","RHQ576U.Value.Description","RHQ576U.Count","RHQ576U.Cumulative","RHQ576U.Skip.to.Item"
"1","Months",33,33,NA
"2","Years",94,127,NA
"7","Refused",0,127,NA
"9","Don't know",0,127,NA
".","Missing",3437,3564,NA
