"URXUTL.Code.or.Value","URXUTL.Value.Description","URXUTL.Count","URXUTL.Cumulative","URXUTL.Skip.to.Item"
"0.01 to 2.82","Range of Values",2653,2653,NA
".","Missing",151,2804,NA
