"MCQ260GI.Code.or.Value","MCQ260GI.Value.Description","MCQ260GI.Count","MCQ260GI.Cumulative","MCQ260GI.Skip.to.Item"
"9","Other",87,87,NA
".","Missing",9406,9493,NA
