"WBXF035.Code.or.Value","WBXF035.Value.Description","WBXF035.Count","WBXF035.Cumulative","WBXF035.Skip.to.Item"
"1000 to 1000","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
