"URXTRN.Code.or.Value","URXTRN.Value.Description","URXTRN.Count","URXTRN.Cumulative","URXTRN.Skip.to.Item"
"0.0354 to 0.0354","Range of Values",2562,2562,NA
".","Missing",194,2756,NA
