"SIAINTRP.Code.or.Value","SIAINTRP.Value.Description","SIAINTRP.Count","SIAINTRP.Cumulative","SIAINTRP.Skip.to.Item"
"1","Yes",135,135,NA
"2","No",10013,10148,NA
".","Missing",1,10149,NA
