"LBDPFBSL.Code.or.Value","LBDPFBSL.Value.Description","LBDPFBSL.Count","LBDPFBSL.Cumulative","LBDPFBSL.Skip.to.Item"
"0","At or above the detection limit",18,18,NA
"1","Below lower detection limit",2082,2100,NA
".","Missing",194,2294,NA
