"LBXEST.Code.or.Value","LBXEST.Value.Description","LBXEST.Count","LBXEST.Cumulative","LBXEST.Skip.to.Item"
"2.117 to 1220","Range of Values",7275,7275,NA
".","Missing",1016,8291,NA
