"OHD15LAS.Code.or.Value","OHD15LAS.Value.Description","OHD15LAS.Count","OHD15LAS.Cumulative","OHD15LAS.Skip.to.Item"
"0 to 11","Range of Values",1361,1361,NA
"99","Calculation cannot be determined",459,1820,NA
".","Missing",4938,6758,NA
