"DUQ380A.Code.or.Value","DUQ380A.Value.Description","DUQ380A.Count","DUQ380A.Cumulative","DUQ380A.Skip.to.Item"
"1","Cocaine",46,46,NA
"7","Refused",0,46,NA
"9","Don't know",0,46,NA
".","Missing",3239,3285,NA
