"URXBUP.Code.or.Value","URXBUP.Value.Description","URXBUP.Count","URXBUP.Cumulative","URXBUP.Skip.to.Item"
"0.14 to 1150","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
