"WBXA089.Code.or.Value","WBXA089.Value.Description","WBXA089.Count","WBXA089.Cumulative","WBXA089.Skip.to.Item"
"-12.9005 to 0.9988","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
