"DR2TS140.Code.or.Value","DR2TS140.Value.Description","DR2TS140.Count","DR2TS140.Cumulative","DR2TS140.Skip.to.Item"
"0 to 38.119","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
