"DR1IP204.Code.or.Value","DR1IP204.Value.Description","DR1IP204.Count","DR1IP204.Cumulative","DR1IP204.Skip.to.Item"
"0 to 1.192","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
