"DRDDAY.Code.or.Value","DRDDAY.Value.Description","DRDDAY.Count","DRDDAY.Cumulative","DRDDAY.Skip.to.Item"
"1","Sunday",24166,24166,NA
"2","Monday",11635,35801,NA
"3","Tuesday",9686,45487,NA
"4","Wednesday",14947,60434,NA
"5","Thursday",14682,75116,NA
"6","Friday",36467,111583,NA
"7","Saturday",31421,143004,NA
".","Missing",0,143004,NA
