"MPQ120o.Code.or.Value","MPQ120o.Value.Description","MPQ120o.Count","MPQ120o.Cumulative","MPQ120o.Skip.to.Item"
"24","Buttocks - right",119,119,NA
".","Missing",4761,4880,NA
