"SSGLYP.Code.or.Value","SSGLYP.Value.Description","SSGLYP.Count","SSGLYP.Cumulative","SSGLYP.Skip.to.Item"
"0.141 to 8.13","Range of Values",2310,2310,NA
".","Missing",6,2316,NA
