"DRQ370PQ.Code.or.Value","DRQ370PQ.Value.Description","DRQ370PQ.Count","DRQ370PQ.Cumulative","DRQ370PQ.Skip.to.Item"
"1 to 6","Range of Values",24,24,NA
".","Missing",9258,9282,NA
